file,motion,brightness,label
1.MOV,1.5752856095679013,65.9935690688619,0
10.mp4,2.3724404385288067,123.18098409970054,0
2.mp4,3.6753890552662036,126.76571091450515,0
3.mp4,2.503277857084256,165.36529776875145,0
4.mp4,2.6622700520833336,129.9325684384198,0
5.mp4,4.834007230581276,125.02434808644531,0
6.mp4,3.4598189589763373,164.92832176884045,0
7.mp4,2.715364098668982,70.52227947939662,0
8.mp4,2.6893300130208333,127.54705545207874,0
9.mp4,3.515851953125,135.88352340731925,0
133.mp4,3.859004633175608,133.37609019118344,1
134.mp4,3.8698614326131686,106.85469739117708,1
135.mp4,3.2432818190586423,133.9338139320681,1
136.mp4,7.630853152080367,93.07343382109788,1
137.mp4,5.644355476169279,77.74553647158609,1
138.mp4,5.928797392618313,67.02545288674781,1
104.MOV,3.9975918909143515,137.49260255223663,1
109.MOV,4.416200008037552,145.11988658269715,1
111.MOV,4.859516003568673,149.08511099166563,1
117.MOV,3.6056567266268,141.04416121736648,1
121.MOV,6.403741520383231,147.92100307364487,1
1.mp4,6.73256568608539,111.04045499939956,1
2.mp4,7.99960652488426,113.58739030099622,1
4.mp4,6.699358266621657,79.15581902862091,1
5.mp4,6.521786404481738,78.546043159735,1
6.mp4,8.0705720236947,86.75633804392399,1
1.mp4,1.456182355182927,132.6824349991733,1
5.mp4,0.923503732638889,130.7210329358099,1
20240823_194131.mp4,3.6782585069444456,132.3377887322684,1
20240823_194241.mp4,5.046589969135802,95.87249271510404,1
IMG_5915.MOV,2.8633019000771607,133.51301742243072,1
IMG_5987.MOV,3.0461592496141976,98.82881555128871,1
VID_20240823_171603.mp4,4.803285561342593,115.25208001504888,1
108.mp4,1.2809793724279837,128.80783883548975,1
134.mp4,1.4998058802726337,56.829752000551885,1
167.mp4,1.198228671553498,150.79352949217153,1
22.mp4,1.5307574009773663,135.35862018768907,1
3.mp4,2.4361628472222225,86.45198985927152,1
39.mp4,1.129377047968107,165.75029149484405,1
20250528_182036.mp4,9.073553735050155,108.76976884507731,1
20250528_182148.mp4,7.645665382265947,86.68589823310134,1
20250528_190425.mp4,6.145289378375771,113.15441433716069,1
20250528_190841.mp4,6.7630535333076125,85.2857048376372,1
101.mp4,7.224356629033229,109.79327047602766,1
102.mp4,5.76010017117731,107.29575104666782,1
104.mp4,5.822842273099923,97.33765466673522,1
122.MOV,8.90798573180051,115.26057090390427,1
